,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2347,Single,9,1,Informatics Engineering,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,5,4,1,0,0,1,1,0,20,0,0,5,7,5,12.166666666666666,0,0,5,7,5,15.285714285714286,0,12.4,0.5,1.79,Graduate
2348,Single,12,1,Advertising and Marketing Management,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,4,4,0,1,0,1,1,1,30,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
2349,Divorced,12,1,Tourism,1,1,1,General Course of Administration and Commerce,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,10,1,0,0,1,1,0,44,0,0,6,6,6,12.666666666666666,0,0,6,6,6,11.5,0,12.4,0.5,1.79,Graduate
2350,Single,9,1,Nursing,1,1,1,General commerce course,Higher Education—degree,5,10,0,0,0,1,1,0,19,0,0,8,8,7,13.614285714285714,0,0,8,8,7,13.614285714285714,0,12.7,3.7,-1.7,Graduate
2351,Single,15,1,Equiniculture,1,14,1,Higher Education—bachelor’s degree,Secondary Education—12th Year of Schooling or Equivalent,4,7,1,0,0,1,1,0,22,0,11,18,32,12,12.857142857142858,1,8,12,15,10,14.3,0,16.2,0.3,-0.92,Graduate
2352,Single,1,1,Equiniculture,1,1,1,Higher Education—degree,Higher Education—degree,2,3,0,0,0,1,1,0,18,0,0,5,7,4,14.0,0,0,5,5,5,14.2,0,7.6,2.6,0.32,Graduate
2353,Single,8,1,Advertising and Marketing Management,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,1,0,0,1,1,1,21,0,0,6,8,4,14.75,0,0,6,6,5,11.8,0,12.7,3.7,-1.7,Graduate
2354,Single,1,2,Veterinary Nursing,1,1,1,General Course of Administration and Commerce,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,12,12,0,0,0,1,1,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
2355,Single,8,4,Advertising and Marketing Management,1,1,1,Higher Education—degree,Secondary Education—12th Year of Schooling or Equivalent,3,4,1,0,0,1,1,0,18,0,0,6,8,6,13.625,0,0,6,7,6,14.285714285714286,0,11.1,0.6,2.02,Graduate
2356,Single,1,1,Animation and Multimedia Design,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,5,4,0,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate
2357,Single,15,1,Agronomy,1,14,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,7,7,1,0,0,1,1,0,21,0,0,6,12,4,11.8,0,0,6,11,4,11.875,0,16.2,0.3,-0.92,Dropout
2358,Single,12,1,Agronomy,1,1,1,Higher Education—degree,Higher Education—degree,3,3,0,0,0,1,1,0,31,0,0,6,8,6,15.125,0,0,6,10,6,14.6,0,16.2,0.3,-0.92,Graduate
2359,Single,8,5,Tourism,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,3,4,1,0,0,1,1,0,21,0,0,6,10,4,11.5,0,0,6,10,2,10.5,0,9.4,-0.8,-3.12,Dropout
2361,Single,13,1,Journalism and Communication,1,1,1,General commerce course,Frequency of Higher Education,5,4,0,0,0,1,1,0,27,0,0,4,8,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout
2362,Single,1,5,Management,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,10,1,0,0,1,1,0,20,0,0,5,9,3,10.333333333333334,0,0,5,6,5,12.8,0,12.4,0.5,1.79,Graduate
2365,Single,9,1,Journalism and Communication,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,5,8,1,0,0,1,1,0,19,0,0,6,6,6,13.833333333333334,0,0,6,6,6,14.5,0,8.9,1.4,3.51,Graduate
2367,Single,8,1,Equiniculture,1,1,1,Other—11th Year of Schooling,Other—11th Year of Schooling,3,9,1,0,0,1,1,0,18,0,0,6,7,6,14.0,0,0,6,8,6,13.666666666666666,0,12.4,0.5,1.79,Graduate
2369,Single,12,1,Equiniculture,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5,6,1,0,0,1,1,0,29,0,0,5,11,1,18.0,2,0,5,10,3,13.333333333333334,2,10.8,1.4,1.74,Dropout
2371,Single,1,5,Animation and Multimedia Design,1,1,1,General commerce course,Higher Education—degree,10,3,1,0,0,1,1,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
2375,Single,1,1,Advertising and Marketing Management,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,6,9,0,0,0,0,1,0,21,0,0,6,9,4,13.25,0,0,6,6,5,11.0,0,12.7,3.7,-1.7,Dropout
2376,Single,12,1,Management,1,1,1,General Course of Administration and Commerce,Secondary Education—12th Year of Schooling or Equivalent,8,4,0,0,0,1,1,1,25,0,0,5,7,4,14.25,0,0,5,7,4,14.75,0,12.7,3.7,-1.7,Graduate
2377,Single,12,1,Management,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,0,0,0,0,1,0,32,0,0,5,9,0,0.0,1,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
2378,Single,14,1,Management (evening attendance),0,1,1,Higher Education—degree,Higher Education—master’s degree,3,3,0,0,0,0,1,0,26,0,8,12,12,8,11.25,0,3,8,8,3,11.333333333333334,0,7.6,2.6,0.32,Dropout
2379,Single,1,1,Equiniculture,1,1,1,Higher Education—bachelor’s degree,Basic education 1st cycle (4th/5th year) or equivalent,10,8,1,0,0,1,1,1,18,0,0,6,7,6,13.5,0,0,6,8,6,12.5,0,12.4,0.5,1.79,Graduate
2380,Single,8,1,Tourism,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5,8,0,0,0,1,1,1,19,0,0,6,8,5,12.666666666666666,0,0,6,10,6,12.857142857142858,0,16.2,0.3,-0.92,Graduate
2381,Single,1,3,Communication Design,1,1,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,6,8,1,0,0,1,1,1,19,0,0,6,6,6,15.166666666666666,0,0,6,6,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
2382,Single,4,1,Informatics Engineering,1,15,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,5,5,0,0,0,1,1,0,27,0,4,6,6,6,13.166666666666666,0,2,5,7,5,15.142857142857142,0,11.1,0.6,2.02,Dropout
2385,Single,15,1,Communication Design,1,14,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,5,1,1,0,0,1,1,0,21,0,0,6,6,6,14.5,0,0,6,8,6,11.333333333333334,0,12.4,0.5,1.79,Graduate
2387,Single,1,1,Animation and Multimedia Design,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,6,8,1,0,1,0,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Graduate
2388,Single,8,4,Management,1,1,1,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,6,6,1,0,0,1,1,1,18,0,0,5,8,4,10.8,0,0,5,10,2,12.5,0,11.1,0.6,2.02,Dropout
2389,Single,12,2,Social Service,1,1,1,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,6,6,0,0,0,1,1,0,28,0,0,5,6,0,0.0,0,0,5,5,0,0.0,0,13.9,-0.3,0.79,Dropout
2390,Married,12,1,Agronomy,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equivalent,10,2,0,0,1,0,1,0,25,0,3,10,23,6,11.428571428571429,0,2,7,15,4,12.0,1,15.5,2.8,-4.06,Dropout
2391,Single,14,1,Agronomy,1,1,1,General Course of Administration and Commerce,Secondary Education—12th Year of Schooling or Equivalent,6,5,0,0,0,1,1,0,25,0,8,14,24,8,12.5,2,6,13,23,10,11.6,0,15.5,2.8,-4.06,Dropout
2393,Single,1,1,Tourism,1,1,1,Higher Education—master’s degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5,6,0,0,0,1,1,0,26,0,0,6,6,0,0.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout
2394,Single,8,3,Management,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,7,6,1,0,0,1,1,1,18,0,0,5,8,5,12.75,0,0,5,7,5,11.5,0,13.9,-0.3,0.79,Graduate
2396,Single,12,1,Agronomy,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,5,6,0,0,0,1,1,0,25,0,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
2398,Single,8,2,Journalism and Communication,1,1,1,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,3,4,1,0,0,1,1,0,19,0,0,6,7,6,14.428571428571429,0,0,6,7,6,14.571428571428571,0,13.9,-0.3,0.79,Graduate
2399,Single,8,1,Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,6,6,0,0,0,1,1,0,19,0,0,7,9,7,12.492857142857144,0,0,8,10,8,11.7125,0,16.2,0.3,-0.92,Graduate
2400,Divorced,12,1,Social Service (evening attendance),0,12,1,Secondary Education—12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equivalent,10,2,0,0,0,1,1,0,45,0,2,8,10,4,11.5,0,2,8,13,4,11.0,0,10.8,1.4,1.74,Dropout
2401,Married,12,1,Management (evening attendance),0,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,0,0,0,1,1,0,52,0,0,5,7,5,11.2,0,0,5,6,5,12.8,1,7.6,2.6,0.32,Graduate
2402,Single,1,1,Management,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,4,1,0,0,0,1,0,20,0,0,5,9,3,12.0,1,0,5,7,3,11.0,0,9.4,-0.8,-3.12,Dropout
2403,Single,1,1,Nursing,1,1,1,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,6,11,1,0,0,1,1,0,19,0,0,8,8,7,15.885714285714286,0,0,8,8,7,15.885714285714286,0,10.8,1.4,1.74,Graduate
2404,Single,1,1,Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,10,0,0,1,0,1,0,21,0,0,7,12,4,12.94,0,0,7,12,4,11.58,0,12.4,0.5,1.79,Dropout
2405,Married,12,1,Social Service (evening attendance),0,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,0,0,0,0,1,0,35,0,0,6,6,6,14.0,0,0,6,6,6,14.166666666666666,0,9.4,-0.8,-3.12,Graduate
2406,Married,12,1,Animation and Multimedia Design,1,9,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,8,8,1,0,0,1,1,0,36,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate
2407,Divorced,12,1,Nursing,1,12,1,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,6,6,0,0,1,0,1,0,47,0,0,7,7,0,0.0,7,0,8,8,0,0.0,8,15.5,2.8,-4.06,Dropout
2408,Single,9,1,Management (evening attendance),0,1,1,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Higher education—degree (1st cycle),3,3,0,0,0,1,1,0,22,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,8.9,1.4,3.51,Dropout
2409,Married,12,1,Management (evening attendance),0,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,1,0,0,1,1,0,41,0,0,5,8,4,11.25,0,0,5,8,3,11.0,1,7.6,2.6,0.32,Dropout
2410,Single,4,1,Informatics Engineering,1,3,1,2nd cycle of the general high school course,Unknown,12,12,0,0,0,1,1,0,26,0,0,5,5,0,0.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout
2411,Married,12,1,Social Service (evening attendance),0,1,1,2nd cycle of the general high school course,Unknown,12,12,0,0,0,0,0,0,51,0,0,6,13,4,11.25,0,0,6,12,0,0.0,1,10.8,1.4,1.74,Dropout
2413,Married,12,2,Social Service (evening attendance),0,1,1,2nd cycle of the general high school course,Unknown,1,1,1,0,0,1,0,0,41,0,0,6,9,5,11.8,0,1,6,10,3,10.666666666666666,1,7.6,2.6,0.32,Graduate
2414,Single,14,2,Management,1,1,1,2nd cycle of the general high school course,Basic education 1st cycle (4th/5th year) or equivalent,10,10,1,0,0,1,1,0,23,0,5,10,19,8,11.625,1,4,10,16,10,11.181818181818182,3,7.6,2.6,0.32,Graduate
2415,Single,14,2,Social Service,1,1,1,2nd cycle of the general high school course,8th year of schooling,1,6,1,0,0,1,1,0,22,0,0,6,11,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout
2416,Single,8,2,Communication Design,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,1,1,0,1,1,1,25,0,0,6,8,4,10.25,0,0,6,6,4,11.25,0,12.7,3.7,-1.7,Dropout
2417,Single,14,1,Management (evening attendance),0,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,1,0,0,1,1,0,25,0,14,15,16,15,10.8,0,13,14,14,14,11.357142857142858,0,9.4,-0.8,-3.12,Graduate
2418,Single,17,1,Animation and Multimedia Design,1,16,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,10,1,0,0,0,1,1,22,0,5,12,15,11,12.545454545454543,0,4,11,16,11,12.666666666666666,0,8.9,1.4,3.51,Graduate
2420,Single,12,1,Veterinary Nursing,1,2,1,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,11,0,0,0,1,1,0,47,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout
2421,Married,12,1,Management (evening attendance),0,12,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,6,6,1,0,0,1,1,0,41,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
2422,Single,12,1,Agronomy,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,1,0,0,1,1,0,43,0,0,6,9,6,14.77777777777778,0,0,6,11,5,12.2,0,13.9,-0.3,0.79,Graduate
2423,Single,12,1,Agronomy,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equivalent,10,9,0,0,0,1,1,0,29,0,0,3,4,0,0.0,0,0,4,8,0,0.0,0,16.2,0.3,-0.92,Dropout
2424,Single,12,2,Informatics Engineering,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,6,6,0,0,0,1,1,0,30,0,0,2,2,0,0.0,0,0,2,2,0,0.0,0,7.6,2.6,0.32,Dropout
2425,Single,12,2,Management,1,13,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,10,0,0,0,0,1,0,26,0,0,4,4,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout
2426,Single,12,2,Management (evening attendance),0,1,1,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,10,0,0,0,0,1,0,27,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
2427,Married,12,2,Advertising and Marketing Management,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,0,0,0,1,1,1,36,0,0,5,5,5,11.4,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
2428,Single,12,1,Agronomy,1,12,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5,11,0,0,0,1,1,0,29,0,3,9,13,6,11.666666666666666,0,2,7,10,6,10.857142857142858,0,15.5,2.8,-4.06,Dropout
2429,Single,13,1,Informatics Engineering,1,1,1,2nd cycle of the general high school course,Unknown,1,1,1,0,0,1,1,0,35,0,6,10,12,7,11.285714285714286,0,2,8,8,5,13.0,0,9.4,-0.8,-3.12,Dropout
2430,Single,1,1,Journalism and Communication,1,1,1,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,7,4,0,0,0,1,1,1,18,0,0,6,12,4,11.5,0,0,6,10,5,12.6,0,10.8,1.4,1.74,Graduate
2431,Single,1,1,Management (evening attendance),0,1,1,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,10,10,0,0,0,1,1,1,24,0,0,5,5,5,16.0,0,0,5,5,5,16.0,0,8.9,1.4,3.51,Graduate
2432,Single,1,3,Journalism and Communication,1,1,1,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,8,1,0,0,1,1,1,18,0,0,6,6,6,12.5,0,0,6,7,6,12.666666666666666,0,10.8,1.4,1.74,Dropout
2435,Single,13,1,Informatics Engineering,1,1,1,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,6,9,1,0,0,1,1,0,21,0,0,5,10,5,13.0,0,0,5,10,5,12.6,0,9.4,-0.8,-3.12,Graduate
2436,Single,12,1,Agronomy,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,3,7,0,0,0,1,1,0,32,0,8,18,27,13,13.714285714285714,1,7,12,18,12,12.083333333333334,0,15.5,2.8,-4.06,Graduate
2437,Single,1,4,Informatics Engineering,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,6,1,0,0,1,1,1,22,0,0,5,9,3,12.333333333333334,0,0,6,14,3,12.5,0,11.1,0.6,2.02,Dropout
2438,Single,4,1,Agronomy,1,3,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,8,1,0,0,0,1,0,32,0,11,17,31,11,12.727272727272728,4,10,12,24,10,12.7,1,15.5,2.8,-4.06,Dropout
2439,Single,14,1,Advertising and Marketing Management,1,6,1,2nd cycle of the general high school course,Unknown,1,1,0,0,0,1,1,0,35,0,1,5,5,1,14.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
2440,Single,9,3,Management,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,5,8,1,0,0,0,1,0,23,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,8.9,1.4,3.51,Dropout
2442,Married,14,1,Advertising and Marketing Management,1,1,1,2nd cycle of the general high school course,Unknown,1,1,0,0,0,1,1,0,35,0,0,5,5,0,0.0,0,0,5,5,1,10.0,0,9.4,-0.8,-3.12,Dropout
2443,Married,12,1,Agronomy,1,3,1,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5,7,0,0,0,1,1,0,32,0,0,6,8,6,18.875,0,6,12,14,12,17.692307692307693,0,16.2,0.3,-0.92,Graduate
2444,Single,1,1,Basic Education,1,1,1,2nd cycle of the general high school course,Unknown,1,1,0,0,0,1,1,0,20,0,0,6,12,0,0.0,0,0,6,12,0,0.0,0,7.6,2.6,0.32,Dropout
2446,Single,4,1,Management (evening attendance),0,15,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,7,7,1,0,0,1,1,0,44,0,3,7,9,7,13.5,0,0,5,6,5,16.2,0,8.9,1.4,3.51,Dropout
2447,Married,12,1,Tourism,1,12,1,General Course of Administration and Commerce,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,11,0,0,0,1,1,0,53,0,7,11,12,2,15.0,7,4,9,10,3,10.0,4,16.2,0.3,-0.92,Graduate
2448,Single,12,1,Informatics Engineering,1,12,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,5,0,0,1,0,1,0,28,0,0,5,10,0,0.0,0,0,5,7,0,0.0,0,12.4,0.5,1.79,Dropout
2449,Single,4,1,Management (evening attendance),0,3,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,0,0,0,1,1,0,31,0,9,9,9,9,14.22222222222222,0,5,5,5,5,12.8,0,12.7,3.7,-1.7,Dropout
2451,Single,12,1,Agronomy,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,10,11,0,0,1,0,1,0,44,0,2,7,14,4,12.0,2,0,6,16,0,0.0,1,15.5,2.8,-4.06,Dropout
2452,Single,1,1,Veterinary Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,10,10,1,0,0,1,1,0,19,0,0,5,9,5,12.6,1,0,5,8,4,12.0,0,12.7,3.7,-1.7,Graduate
2454,Single,9,1,Informatics Engineering,1,1,1,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,4,6,0,0,0,1,1,1,18,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
2455,Single,15,1,Agronomy,1,14,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,6,6,1,0,0,1,1,0,20,0,0,6,8,6,14.5,0,0,6,10,6,15.3,0,16.2,0.3,-0.92,Graduate
2456,Single,12,1,Communication Design,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,8,8,0,0,0,1,1,0,55,0,0,6,6,6,14.5,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
2458,Single,8,2,Informatics Engineering,1,1,1,Other—11th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,6,6,0,0,0,1,1,0,19,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,12.4,0.5,1.79,Dropout
2459,Single,1,1,Management,1,1,1,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,10,10,0,0,0,1,1,0,18,0,0,5,5,5,11.6,0,0,5,5,5,13.2,0,12.4,0.5,1.79,Graduate
2460,Married,12,1,Journalism and Communication,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,8,5,0,0,0,1,1,0,43,0,0,6,10,4,11.75,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
2461,Single,9,3,Tourism,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,7,1,0,0,1,1,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
2462,Single,1,1,Animation and Multimedia Design,1,1,1,Higher Education—degree,Higher Education—degree,3,3,1,0,0,1,1,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
2463,Single,8,5,Tourism,1,1,1,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,10,10,1,0,1,1,1,1,20,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout
2464,Married,12,1,Management (evening attendance),0,1,1,General Course of Administration and Commerce,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,10,0,0,1,0,1,0,29,0,0,5,7,4,11.25,0,0,5,8,4,11.8,0,10.8,1.4,1.74,Dropout
2465,Single,12,1,Equiniculture,1,12,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,11,1,0,1,1,1,0,44,0,0,6,9,5,11.571428571428571,0,0,6,11,0,0.0,0,13.9,-0.3,0.79,Dropout
2468,Single,14,1,Communication Design,1,1,1,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,9,8,1,0,0,1,1,0,20,0,3,6,6,4,12.75,0,3,9,12,3,12.666666666666666,0,12.4,0.5,1.79,Dropout
2469,Married,12,2,Management,1,1,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,10,10,1,0,0,1,1,0,36,0,0,4,4,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout
2471,Married,12,1,Veterinary Nursing,1,12,1,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,12,12,0,0,0,0,1,0,29,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
2472,Single,1,1,Advertising and Marketing Management,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,10,10,1,0,0,1,1,0,18,0,0,6,6,4,11.25,0,0,6,10,3,10.333333333333334,0,10.8,1.4,1.74,Dropout
2473,Single,12,1,Agronomy,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,2,7,0,0,0,0,1,0,24,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
2474,Single,1,1,Journalism and Communication,1,1,1,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,3,6,0,0,0,1,1,0,20,0,0,6,6,6,14.333333333333334,0,0,6,7,6,15.0,0,15.5,2.8,-4.06,Graduate
2475,Married,12,1,Social Service (evening attendance),0,12,1,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,10,10,0,0,1,0,1,0,45,0,0,6,7,0,0.0,0,0,5,5,0,0.0,0,16.2,0.3,-0.92,Dropout
2476,Single,14,2,Nursing,1,1,1,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,5,5,1,0,0,1,1,1,28,0,18,23,23,20,13.5,3,18,23,23,20,13.5,3,7.6,2.6,0.32,Graduate
2478,Single,1,1,Nursing,1,1,1,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5,8,1,0,0,1,1,0,18,0,0,7,7,7,12.444285714285714,0,0,8,11,7,11.347142857142858,0,12.4,0.5,1.79,Graduate
2479,Single,1,2,Management,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,10,5,1,0,0,1,1,0,23,0,0,5,7,3,10.666666666666666,1,0,5,7,3,11.333333333333334,0,9.4,-0.8,-3.12,Dropout
2481,Single,1,1,Communication Design,1,1,1,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,6,6,0,0,0,1,1,1,22,0,1,6,6,6,12.666666666666666,0,1,6,6,5,12.4,0,12.4,0.5,1.79,Graduate
